0,1937193
1,749705
2,641093
3,554726
4,481586
5,420578
6,368256
7,323490
8,283786
9,249323
10,218834
11,191733
12,167817
13,146879
14,129248
15,114033
16,100426
17,88516
18,78203
19,68792
20,60729
21,53337
22,46476
23,40281
24,34693
25,29908
26,25815
27,22235
28,19250
29,16539
30,14190
31,12158
32,10454
33,8932
34,7639
35,6540
36,5581
37,4742
38,3992
39,3347
40,2725
41,2226
42,1825
43,1447
44,1162
45,935
46,728
47,581
48,462
49,367
50,294
51,232
52,177
53,134
54,97
55,77
56,55
57,41
58,33
59,24
60,17
61,10
62,9
63,4
64,3
65,3
66,3
67,2
68,2
69,2
70,2
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
